,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
2403,tun,Tunica,Tunica,Tunica,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2405,tur,Turkish,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2408,tuv,Tuvan,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2410,tvl,Tuvaluan,Oceanic,Austronesian,Papunesia,5 OVS,2 VS,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2414,twe,Tarahumara (Western),Tarahumaran,Uto-Aztecan,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2427,tzu,Tzutujil,Mayan,Mayan,North America,7 No dominant order,3 No dominant order,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
2429,uby,Ubykh,Northwest Caucasian,Northwest Caucasian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],2 [Neg-V],11 Type 3 / Type 4,4 None
2430,udh,Udihe,Tungusic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2431,udi,Udi,Lezgic,Nakh-Daghestanian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2432,udm,Udmurt,Permic,Uralic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
2435,ukr,Ukrainian,Slavic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2438,uld,Uldeme,Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2439,uli,Ulithian,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2444,una,Una,Mek,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2445,ung,Ungarinjin,Worrorran,Worrorran,Australia,5 OVS,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2448,urd,Urdu,Indic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2451,urk,Urubú-Kaapor,Tupi-Guaraní,Tupian,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
2452,url,Urak Lawoi',Malayo-Sumbawan,Austronesian,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2454,urn,Urarina,Urarina,Urarina,South America,5 OVS,2 VS,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2455,urt,Urat,Wapei-Palei,Torricelli,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
2457,usa,Usan,Madang,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2459,usr,Usarufa,Eastern Highlands,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2460,ute,Ute,Numic,Uto-Aztecan,North America,7 No dominant order,3 No dominant order,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
2461,uyg,Uyghur,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2462,uzb,Uzbek,Turkic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2466,vai,Vai,Western Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
